country_1,country_2
Canada,United States of America
Papua New Guinea,West Indies
Oman,Namibia
Sri Lanka,South Africa
Afghanistan,Uganda
Scotland,England
Nepal,Netherlands
Ireland,India
Papua New Guinea,Uganda
Australia,Oman
Pakistan,United States of America
Namibia,Scotland
Canada,Ireland
Afghanistan,New Zealand
Sri Lanka,Bangladesh
Netherlands,South Africa
Australia,England
West Indies,Uganda
India,Pakistan
Oman,Scotland
South Africa,Bangladesh
Canada,Pakistan
Nepal,Sri Lanka
Namibia,Australia
United States of America,India
West Indies,New Zealand
Bangladesh,Netherlands
Oman,England
Papua New Guinea,Afghanistan
United States of America,Ireland
South Africa,Nepal
Uganda,New Zealand
Canada,India
England,Namibia
Scotland,Australia
Ireland,Pakistan
Bangladesh,Nepal
Sri Lanka,Netherlands
Papua New Guinea,New Zealand
West Indies,Afghanistan
South Africa,United States of America
West Indies,England
India,Afghanistan
Bangladesh,Australia
South Africa,England
United States of America,West Indies
India,Bangladesh
Afghanistan,Australia
United States of America,England
West Indies,South Africa
India,Australia
Afghanistan,Bangladesh
Afghanistan,South Africa
India,England
India,South Africa
